Machine,Workflow,TaskName,Estimator,Feature,SizeInput,Predicted,Real,Deviation
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,812.8875761032104,584.3678621922188,423.0,0.38148430778302317
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,4590.344056129456,2797.13654778727,1171.0,1.3886733969148335
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,812.8875761032104,584.3678621922188,465.0,0.25670507998326625
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,203.0108642578125,227.11263048249523,123.0,0.8464441502641888
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,2545.566870689392,1599.341431182903,1445.0,0.10681067901931009
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,609.9719657897949,465.5034065210274,283.0,0.6448883622651145
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,405.5044136047363,345.729850137864,264.0,0.3095827656737272
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,1729.362572669983,1121.223067343304,742.0,0.5110823010017573
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,1729.362572669983,1121.223067343304,1008.0,0.11232447157073801
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,3565.6447715759277,2196.885426165891,1920.0,0.14421115946140167
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,3055.7511615753174,1898.1985665924549,1202.0,0.5792001385960523
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,203.0108642578125,227.11263048249523,145.0,0.5662940033275533
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,3055.7511615753174,1898.1985665924549,1738.0,0.09217408894847806
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,3565.6447715759277,2196.885426165891,1303.0,0.6860210484772764
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,3055.7511615753174,1898.1985665924549,1890.0,0.0043378659219338
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,5102.182312011719,3096.9625472910393,2535.0,0.22168147822131729
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,1729.362572669983,1121.223067343304,965.0,0.1618891889567916
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,609.9719657897949,465.5034065210274,358.0,0.3002888450308028
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,5102.182312011719,3096.9625472910393,2669.0,0.1603456527879503
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,6639.323947906494,3997.393537089941,3292.0,0.21427507202003074
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-G,Realtime,812.8875761032104,584.3678621922188,461.0,0.2676092455362664
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,609.9719657897949,214.3290401574806,386.0,0.44474341928113836
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,5102.182312011719,1425.916547260694,2715.0,0.4748005350789341
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,4590.344056129456,1287.869397040758,2574.0,0.4996622389119044
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,203.0108642578125,104.56815442607287,139.0,0.24771111923688585
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,1729.362572669983,516.2382497307491,804.0,0.3579126247129987
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,1474.3470220565796,447.4583771452852,820.0,0.45431905226184727
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,5102.182312011719,1425.916547260694,2448.0,0.4175177503020041
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,812.8875761032104,269.05711375686695,411.0,0.34535982054290276
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,5613.892818450928,1563.9292423644808,2733.0,0.42776097974223165
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,203.0108642578125,104.56815442607287,124.0,0.15670843204779947
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,6639.323947906494,1840.4967781852365,3076.0,0.4016590448032391
"CPU:Intel(R) Xeon(R) Gold 6240R,Memory:192002MiB,Cores:96",dnaseq-0,burrows-wheeler-aligner,Lotaru-A,Realtime,609.9719657897949,214.3290401574806,375.0,0.4284558929133851
