Machine,Workflow,TaskName,Estimator,Feature,SizeInput,Predicted,Real,Deviation
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,OnlineP,Realtime,3565.6447715759277,1796.9699291208422,1851.0,0.029189665520884846
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,OnlineP,Realtime,609.9719657897949,366.0,341.0,0.07331378299120235
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,OnlineP,Realtime,812.8875761032104,487.75496176869154,376.0,0.2972206430018392
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,OnlineP,Realtime,6639.323947906494,3346.005070159241,2404.0,0.3918490308482699
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,OnlineP,Realtime,4590.344056129456,2313.3853094225924,1972.0,0.1731162826686574
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,OnlineP,Realtime,1729.362572669983,910.0000000000001,785.0,0.15923566878980905
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,OnlineP,Realtime,5613.892818450928,2829.2208636378323,2278.0,0.24197579615356993
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,OnlineP,Realtime,609.9719657897949,366.0,400.0,0.085
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,OnlineP,Realtime,6639.323947906494,3346.005070159241,2957.0,0.13155396353034862
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,OnlineP,Realtime,203.0108642578125,177.72644241000108,167.0,0.06423019407186278
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Naive,Realtime,203.0108642578125,127.17606996727152,135.0,0.05795503727947025
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Naive,Realtime,203.0108642578125,127.17606996727152,134.0,0.05092485099051107
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Naive,Realtime,3565.6447715759277,2233.6966575961233,1851.0,0.20675130070022865
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Naive,Realtime,609.9719657897949,382.116679730217,341.0,0.12057677340239593
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Naive,Realtime,812.8875761032104,509.23307790434797,376.0,0.3543432922987978
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Naive,Realtime,6639.323947906494,4159.201676330205,2404.0,0.7301171698544947
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Naive,Realtime,4590.344056129456,2875.6190905861963,1972.0,0.458224690966631
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Naive,Realtime,1729.362572669983,1083.3584515031425,785.0,0.38007446051355737
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Naive,Realtime,5613.892818450928,3516.8207794110854,2278.0,0.5438194817432332
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Naive,Realtime,609.9719657897949,382.116679730217,400.0,0.04470830067445746
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Naive,Realtime,6639.323947906494,4159.201676330205,2957.0,0.4065612703179592
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Naive,Realtime,203.0108642578125,127.17606996727152,167.0,0.23846664690256578
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Perfect,Realtime,203.0108642578125,135.0,135.0,0.0
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Perfect,Realtime,203.0108642578125,134.0,134.0,0.0
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Perfect,Realtime,3565.6447715759277,1851.0,1851.0,0.0
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Perfect,Realtime,609.9719657897949,341.0,341.0,0.0
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Perfect,Realtime,812.8875761032104,376.0,376.0,0.0
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Perfect,Realtime,6639.323947906494,2404.0,2404.0,0.0
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Perfect,Realtime,4590.344056129456,1972.0,1972.0,0.0
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Perfect,Realtime,1729.362572669983,785.0,785.0,0.0
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Perfect,Realtime,5613.892818450928,2278.0,2278.0,0.0
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Perfect,Realtime,609.9719657897949,400.0,400.0,0.0
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,burrows-wheeler-aligner,Perfect,Realtime,6639.323947906494,2957.0,2957.0,0.0
