tool_name,input_size,actual_memory_bytes,predicted_memory_bytes,total_allocated_bytes,method_name,wastage_mb,failed,exec_time_s,retry_penalty_time_s,num_retries,confidence,source
burrows-wheeler-aligner,4591,6179,6175,12350,FAMR_1,6171,false,1938,1733,1,0.994707933755174,FAMR
burrows-wheeler-aligner,4591,6113,6175,6175,FAMR_1,62,false,1794,0,0,0.994707933755174,FAMR
burrows-wheeler-aligner,4591,6096,6175,6175,FAMR_1,79,false,1752,0,0,0.994707933755174,FAMR
burrows-wheeler-aligner,4591,6112,6175,6175,FAMR_1,63,false,1746,0,0,0.994707933755174,FAMR
burrows-wheeler-aligner,4591,6088,6175,6175,FAMR_1,87,false,1698,0,0,0.994707933755174,FAMR
burrows-wheeler-aligner,3566,6130,6141,6141,FAMR_1,11,false,2045,0,0,0.9965252582437494,FAMR
burrows-wheeler-aligner,3566,6136,6141,6141,FAMR_1,5,false,2015,0,0,0.9965252582437494,FAMR
burrows-wheeler-aligner,3566,6139,6141,6141,FAMR_1,2,false,2009,0,0,0.9965252582437494,FAMR
burrows-wheeler-aligner,3566,6136,6141,6141,FAMR_1,5,false,2003,0,0,0.9965252582437494,FAMR
burrows-wheeler-aligner,3566,6128,6141,6141,FAMR_1,13,false,1957,0,0,0.9965252582437494,FAMR
burrows-wheeler-aligner,3566,6132,6141,6141,FAMR_1,9,false,1953,0,0,0.9965252582437494,FAMR
burrows-wheeler-aligner,3566,6139,6141,6141,FAMR_1,2,false,1885,0,0,0.9965252582437494,FAMR
burrows-wheeler-aligner,3566,6136,6141,6141,FAMR_1,5,false,1462,0,0,0.9965252582437494,FAMR
burrows-wheeler-aligner,3566,6063,6141,6141,FAMR_1,78,false,1303,0,0,0.9965252582437494,FAMR
burrows-wheeler-aligner,3566,6069,6141,6141,FAMR_1,72,false,1317,0,0,0.9965252582437494,FAMR
burrows-wheeler-aligner,3056,6113,6279,6279,FAMR_1,166,false,1540,0,0,0.9649043612662409,FAMR
burrows-wheeler-aligner,3056,6077,6279,6279,FAMR_1,202,false,1217,0,0,0.9649043612662409,FAMR
burrows-wheeler-aligner,3056,6161,6279,6279,FAMR_1,118,false,1384,0,0,0.9649043612662409,FAMR
burrows-wheeler-aligner,3056,6105,6279,6279,FAMR_1,174,false,1782,0,0,0.9649043612662409,FAMR
burrows-wheeler-aligner,2546,6110,6118,6118,FAMR_1,8,false,1559,0,0,0.9973309034535223,FAMR
burrows-wheeler-aligner,3056,6071,6279,6279,FAMR_1,208,false,1149,0,0,0.9649043612662409,FAMR
burrows-wheeler-aligner,3056,6156,6279,6279,FAMR_1,123,false,1415,0,0,0.9649043612662409,FAMR
burrows-wheeler-aligner,2546,6117,6118,6118,FAMR_1,1,false,1652,0,0,0.9973309034535223,FAMR
burrows-wheeler-aligner,2546,6120,6118,12236,FAMR_1,6116,false,1650,1375,1,0.9973309034535223,FAMR
burrows-wheeler-aligner,2546,6122,6118,12236,FAMR_1,6114,false,1649,1383,1,0.9973309034535223,FAMR
burrows-wheeler-aligner,3056,6150,6279,6279,FAMR_1,129,false,1424,0,0,0.9649043612662409,FAMR
burrows-wheeler-aligner,2546,6117,6118,6118,FAMR_1,1,false,1599,0,0,0.9973309034535223,FAMR
