method_name,total_predictions,failure_rate,total_wastage_mb,avg_wastage_mb,total_exec_time_s,total_retry_time_s,total_time_with_penalties_s,efficiency_score
FAMR_1,2000,0.075,2335433,1167.7165,1893763,93816,1987579,0.9527988573032821
FAMR_1.05,2000,0.075,2394694,1197.347,1893763,89132,1982895,0.9550495613736482
FAMR_1.1,2000,0.075,2440728,1220.364,1893763,77785,1971548,0.9605462306776198
FAMR_1.15,2000,0.075,2450450,1225.225,1893763,66846,1960609,0.9659054916100048
FAMR_1.75,2000,0.075,2958663,1479.3315,1893763,24587,1918350,0.9871832564443402
FAMR_2,2000,0.075,3187698,1593.849,1893763,9363,1903126,0.9950801996294517
