tool_name,input_size,actual_memory_bytes,predicted_memory_bytes,total_allocated_bytes,method_name,wastage_mb,failed,exec_time_s,retry_penalty_time_s,num_retries
burrows-wheeler-aligner,813.0,6024.0,6315.083865762579,6315.083865762579,Sizey,291.0838657625791,False,418,0,0
burrows-wheeler-aligner,6640.0,6241.0,6552.093737007896,6552.093737007896,Sizey,311.0937370078964,False,3296,0,0
burrows-wheeler-aligner,5614.0,6188.0,6207.352831738632,6207.352831738632,Sizey,19.35283173863172,False,2801,0,0
burrows-wheeler-aligner,5103.0,6168.0,6178.530286888353,6178.530286888353,Sizey,10.530286888352748,False,1913,0,0
burrows-wheeler-aligner,4591.0,6112.0,6148.930126908315,6148.930126908315,Sizey,36.93012690831529,False,1672,0,0
burrows-wheeler-aligner,3566.0,6112.0,6126.768812413715,6126.768812413715,Sizey,14.76881241371484,False,1758,0,0
burrows-wheeler-aligner,3056.0,6103.0,6113.454580272873,6113.454580272873,Sizey,10.45458027287259,False,1545,0,0
burrows-wheeler-aligner,2546.0,6103.0,6103.500165929483,6103.500165929483,Sizey,0.5001659294830461,False,1180,0,0
burrows-wheeler-aligner,1730.0,6039.0,6076.5943410892405,6076.5943410892405,Sizey,37.594341089240515,False,727,0,0
burrows-wheeler-aligner,1475.0,6073.0,6070.782044468146,12141.564088936291,Sizey,6068.564088936291,False,747,694,1
burrows-wheeler-aligner,813.0,5975.0,6025.800357193783,6025.800357193783,Sizey,50.800357193783384,False,342,0,0
burrows-wheeler-aligner,610.0,6016.0,6017.558521161579,6017.558521161579,Sizey,1.5585211615789376,False,323,0,0
burrows-wheeler-aligner,406.0,5985.0,6003.381614070928,6003.381614070928,Sizey,18.381614070927753,False,252,0,0
burrows-wheeler-aligner,204.0,5944.0,5985.727041005305,5985.727041005305,Sizey,41.72704100530518,False,161,0,0
burrows-wheeler-aligner,6640.0,6271.0,6254.177771456115,12508.35554291223,Sizey,6237.35554291223,False,3998,3959,1
burrows-wheeler-aligner,6640.0,6261.0,6256.531478326083,12513.062956652166,Sizey,6252.062956652166,False,3815,3776,1
burrows-wheeler-aligner,6640.0,6267.0,6257.782559203283,12515.565118406566,Sizey,6248.565118406566,False,3773,3735,1
burrows-wheeler-aligner,6640.0,6256.0,6258.811147499783,6258.811147499783,Sizey,2.8111474997831465,False,3772,0,0
burrows-wheeler-aligner,6640.0,6256.0,6258.186172259364,6258.186172259364,Sizey,2.186172259363957,False,3745,0,0
burrows-wheeler-aligner,6640.0,6255.0,6258.180503069726,6258.180503069726,Sizey,3.180503069726001,False,3710,0,0
burrows-wheeler-aligner,6640.0,6258.0,6257.935163089782,12515.870326179564,Sizey,6257.870326179564,False,3699,3668,1
burrows-wheeler-aligner,6640.0,6263.0,6258.712991835596,12517.425983671192,Sizey,6254.425983671192,False,3658,3618,1
burrows-wheeler-aligner,6640.0,6269.0,6259.208725491422,12518.417450982844,Sizey,6249.4174509828445,False,3510,3477,1
burrows-wheeler-aligner,6640.0,6265.0,6260.058988895102,12520.117977790203,Sizey,6255.117977790203,False,3516,3483,1
burrows-wheeler-aligner,5614.0,6196.0,6215.607667329243,6215.607667329243,Sizey,19.60766732924276,False,3270,0,0
burrows-wheeler-aligner,5614.0,6199.0,6215.154439849808,6215.154439849808,Sizey,16.154439849808114,False,3221,0,0
burrows-wheeler-aligner,5614.0,6202.0,6215.670872476318,6215.670872476318,Sizey,13.670872476318436,False,3158,0,0
burrows-wheeler-aligner,5103.0,6169.0,6184.451185109502,6184.451185109502,Sizey,15.451185109502148,False,3091,0,0
burrows-wheeler-aligner,5103.0,6181.0,6184.25640812855,6184.25640812855,Sizey,3.2564081285499924,False,2991,0,0
burrows-wheeler-aligner,5103.0,6177.0,6184.690020795343,6184.690020795343,Sizey,7.690020795343116,False,2996,0,0
burrows-wheeler-aligner,5614.0,6256.0,6214.945368974115,12429.89073794823,Sizey,6173.89073794823,False,2547,2515,1
burrows-wheeler-aligner,5103.0,6186.0,6186.342544447286,6186.342544447286,Sizey,0.34254444728594535,False,2902,0,0
burrows-wheeler-aligner,5103.0,6182.0,6186.845948166098,6186.845948166098,Sizey,4.845948166098424,False,2901,0,0
burrows-wheeler-aligner,5103.0,6176.0,6186.888747288308,6186.888747288308,Sizey,10.888747288307968,False,2866,0,0
burrows-wheeler-aligner,5614.0,6261.0,6216.603294543688,12433.206589087376,Sizey,6172.206589087376,False,2539,2506,1
burrows-wheeler-aligner,5614.0,6256.0,6219.147286134453,12438.294572268906,Sizey,6182.2945722689055,False,2534,2502,1
burrows-wheeler-aligner,5103.0,6197.0,6189.853614431462,12379.707228862924,Sizey,6182.707228862924,False,2846,2780,1
burrows-wheeler-aligner,5614.0,6206.0,6223.213158551429,6223.213158551429,Sizey,17.213158551428933,False,2292,0,0
burrows-wheeler-aligner,5614.0,6185.0,6222.951295704358,6222.951295704358,Sizey,37.95129570435802,False,2252,0,0
burrows-wheeler-aligner,5614.0,6180.0,6222.272871188445,6222.272871188445,Sizey,42.2728711884447,False,2259,0,0
burrows-wheeler-aligner,5614.0,6196.0,6222.0511135524075,6222.0511135524075,Sizey,26.051113552407514,False,2225,0,0
burrows-wheeler-aligner,5103.0,6222.0,6190.034509841985,12380.06901968397,Sizey,6158.06901968397,False,2317,2268,1
burrows-wheeler-aligner,5103.0,6149.0,6191.900785505446,6191.900785505446,Sizey,42.90078550544604,False,2046,0,0
burrows-wheeler-aligner,5103.0,6154.0,6190.821285961346,6190.821285961346,Sizey,36.82128596134589,False,2056,0,0
burrows-wheeler-aligner,4591.0,6141.0,6158.042286801432,6158.042286801432,Sizey,17.042286801432056,False,2419,0,0
burrows-wheeler-aligner,4591.0,6146.0,6158.154485200975,6158.154485200975,Sizey,12.154485200974705,False,2377,0,0
burrows-wheeler-aligner,4591.0,6143.0,6158.656063174162,6158.656063174162,Sizey,15.656063174162227,False,2300,0,0
burrows-wheeler-aligner,4591.0,6171.0,6158.606357942363,12317.212715884725,Sizey,6146.212715884725,False,2081,2050,1
burrows-wheeler-aligner,4591.0,6176.0,6161.619196419783,12323.238392839567,Sizey,6147.238392839567,False,1972,1939,1
burrows-wheeler-aligner,4591.0,6179.0,6162.513167341162,12325.026334682325,Sizey,6146.026334682325,False,1938,1733,1
burrows-wheeler-aligner,4591.0,6113.0,6162.29957317331,6162.29957317331,Sizey,49.29957317330991,False,1794,0,0
burrows-wheeler-aligner,4591.0,6096.0,6161.070906493965,6161.070906493965,Sizey,65.07090649396469,False,1752,0,0
burrows-wheeler-aligner,4591.0,6112.0,6159.806894758542,6159.806894758542,Sizey,47.8068947585416,False,1746,0,0
burrows-wheeler-aligner,4591.0,6088.0,6159.635772180013,6159.635772180013,Sizey,71.63577218001319,False,1698,0,0
burrows-wheeler-aligner,3566.0,6130.0,6133.463523057172,6133.463523057172,Sizey,3.4635230571720967,False,2045,0,0
burrows-wheeler-aligner,3566.0,6136.0,6133.9570495829175,12267.914099165835,Sizey,6131.914099165835,False,2015,1947,1
burrows-wheeler-aligner,3566.0,6139.0,6134.726192862061,12269.452385724122,Sizey,6130.452385724122,False,2009,1911,1
burrows-wheeler-aligner,3566.0,6136.0,6134.803006859335,12269.60601371867,Sizey,6133.6060137186705,False,2003,1932,1
burrows-wheeler-aligner,3566.0,6128.0,6135.2947772273155,6135.2947772273155,Sizey,7.294777227315535,False,1957,0,0
burrows-wheeler-aligner,3566.0,6132.0,6135.622073861586,6135.622073861586,Sizey,3.6220738615857044,False,1953,0,0
burrows-wheeler-aligner,3566.0,6139.0,6135.641209298659,12271.282418597319,Sizey,6132.282418597319,False,1885,1818,1
burrows-wheeler-aligner,3566.0,6136.0,6136.618135263418,6136.618135263418,Sizey,0.618135263417571,False,1462,0,0
burrows-wheeler-aligner,3566.0,6063.0,6136.72839430762,6136.72839430762,Sizey,73.72839430761996,False,1303,0,0
burrows-wheeler-aligner,3566.0,6069.0,6135.44442411886,6135.44442411886,Sizey,66.4444241188603,False,1317,0,0
burrows-wheeler-aligner,3056.0,6113.0,6120.835177450444,6120.835177450444,Sizey,7.8351774504435525,False,1540,0,0
burrows-wheeler-aligner,3056.0,6077.0,6121.482654755931,6121.482654755931,Sizey,44.482654755931435,False,1217,0,0
burrows-wheeler-aligner,3056.0,6161.0,6120.028463676536,12240.056927353073,Sizey,6079.056927353073,False,1384,1329,1
burrows-wheeler-aligner,3056.0,6105.0,6123.137860455077,6123.137860455077,Sizey,18.137860455077316,False,1782,0,0
burrows-wheeler-aligner,2546.0,6110.0,6112.963225280036,6112.963225280036,Sizey,2.963225280035658,False,1559,0,0
burrows-wheeler-aligner,3056.0,6071.0,6122.77904675513,6122.77904675513,Sizey,51.779046755130366,False,1149,0,0
